f,s11r,s11c,s12r,s12c,e,f,g,h
932769,-0.105036496,0.026682356,0.885868992,-0.120209064,0,0,0,0
942048,-0.105134784,0.026914526,0.885844608,-0.120446328,0,0,0,0
951326,-0.105155368,0.026717038,0.885715648,-0.121244288,0,0,0,0
960605,-0.105152688,0.026554694,0.885653184,-0.12168684,0,0,0,0
969883,-0.105047592,0.026408904,0.88569088,-0.12216272,0,0,0,0
979162,-0.10529312,0.026223322,0.885467456,-0.122696792,0,0,0,0
988440,-0.105105008,0.026214616,0.88544288,-0.12314452,0,0,0,0
997718,-0.105089352,0.026026322,0.885253056,-0.123658608,0,0,0,0
1006997,-0.105191896,0.025944872,0.885157568,-0.124239608,0,0,0,0
1016275,-0.10518372,0.025644568,0.885138304,-0.124671184,0,0,0,0
1025554,-0.105134656,0.025424006,0.88507584,-0.125224904,0,0,0,0
1034832,-0.105453232,0.025448456,0.88504128,-0.125710432,0,0,0,0
1044110,-0.105296624,0.025313464,0.884979584,-0.126182184,0,0,0,0
1053389,-0.105381896,0.025244206,0.88482528,-0.126706776,0,0,0,0
1062667,-0.1052476,0.025192592,0.884870592,-0.127211336,0,0,0,0
1071946,-0.105357904,0.025064486,0.884610176,-0.127660944,0,0,0,0
1081224,-0.105551384,0.024927396,0.884490112,-0.12803476,0,0,0,0
1090502,-0.105280712,0.024947596,0.884442304,-0.128675384,0,0,0,0
1099781,-0.105537656,0.024714016,0.884465536,-0.129335616,0,0,0,0
1109059,-0.105428416,0.024586096,0.884098432,-0.129824104,0,0,0,0
1118338,-0.10556472,0.024543428,0.884099392,-0.130275208,0,0,0,0
1127616,-0.105544784,0.024211932,0.884120256,-0.13068664,0,0,0,0
1136895,-0.105517384,0.024105648,0.883979648,-0.131223736,0,0,0,0
1146173,-0.105567,0.024093332,0.88376384,-0.13159788,0,0,0,0
1155451,-0.105469296,0.023945172,0.88361824,-0.131965176,0,0,0,0
1164730,-0.105674776,0.023856598,0.883771072,-0.132637632,0,0,0,0
1174008,-0.105578592,0.023683252,0.883688704,-0.132948232,0,0,0,0
1183287,-0.10559932,0.02359908,0.883546816,-0.133606064,0,0,0,0
1192565,-0.105727728,0.023315316,0.883245888,-0.133988512,0,0,0,0
1201843,-0.105860112,0.023338466,0.88340576,-0.134629616,0,0,0,0
1211122,-0.105790624,0.023229764,0.883285184,-0.13518336,0,0,0,0
1220400,-0.105666904,0.022972402,0.88310208,-0.135414176,0,0,0,0
1229679,-0.105796128,0.022813518,0.882948416,-0.1361196,0,0,0,0
1238957,-0.105706032,0.022791694,0.883011008,-0.1363828,0,0,0,0
1248235,-0.106053432,0.022732792,0.882704192,-0.137004592,0,0,0,0
1257514,-0.105781584,0.0225593,0.882739072,-0.137375344,0,0,0,0
1266792,-0.105806992,0.022379456,0.882780736,-0.13798456,0,0,0,0
1276071,-0.105906696,0.022378442,0.882484544,-0.138332816,0,0,0,0
1285349,-0.105841944,0.022160426,0.882624,-0.13900808,0,0,0,0
1294627,-0.105884736,0.022186966,0.882426176,-0.13939976,0,0,0,0
1303906,-0.106165736,0.021954572,0.882313088,-0.139910016,0,0,0,0
